pairs,n_pairs,risk_pct,annual_return_pct,mtm_dd_pct,realized_dd_pct,profit_factor,sharpe,winrate_pct,trades,years,final_balance
1000PEPEUSDT+MUSDT+TONUSDT,3,0.75,108.21,29.59,12.56,2.967,1.143,38.5,439,2.95,868972.67
1000PEPEUSDT+MUSDT+TONUSDT,3,1.0,150.4,32.94,16.43,3.001,1.141,38.5,439,2.95,1497020.2
1000PEPEUSDT+MUSDT+DYDXUSDT,3,0.75,89.41,22.67,9.72,2.665,1.117,40.12,339,2.95,657430.61
1000PEPEUSDT+MUSDT+DYDXUSDT,3,1.0,123.86,25.51,12.8,2.57,1.113,40.12,339,2.95,1075961.06
1000PEPEUSDT+MUSDT+RUNEUSDT,3,0.75,88.47,22.67,12.93,2.496,1.107,39.13,345,2.95,647832.42
1000PEPEUSDT+MUSDT+RUNEUSDT,3,1.0,122.42,25.51,16.89,2.361,1.105,39.13,345,2.95,1055716.06
1000PEPEUSDT+MUSDT+XRPUSDT,3,0.75,113.99,23.91,9.98,2.395,1.245,39.26,489,2.98,961890.59
1000PEPEUSDT+MUSDT+XRPUSDT,3,1.0,161.44,27.5,13.11,2.306,1.239,39.26,489,2.98,1745468.81
1000PEPEUSDT+MUSDT+BOMEUSDT,3,0.75,83.48,22.67,7.55,2.645,1.075,41.16,345,2.95,598603.67
1000PEPEUSDT+MUSDT+BOMEUSDT,3,1.0,115.04,25.51,9.95,2.556,1.072,41.16,345,2.95,955721.46
1000PEPEUSDT+MUSDT+ENSUSDT,3,0.75,83.84,22.67,9.6,2.631,1.081,42.42,363,2.95,602027.51
1000PEPEUSDT+MUSDT+ENSUSDT,3,1.0,115.74,25.51,12.62,2.545,1.078,42.42,363,2.95,964884.44
1000PEPEUSDT+MUSDT+WLDUSDT,3,0.75,95.73,20.22,10.81,2.272,1.28,38.27,473,2.95,724167.9
1000PEPEUSDT+MUSDT+WLDUSDT,3,1.0,131.67,22.49,14.17,2.186,1.303,38.27,473,2.95,1190460.44
1000PEPEUSDT+MUSDT+XLMUSDT,3,0.75,105.3,22.8,12.87,2.267,1.145,38.65,489,2.95,833656.41
1000PEPEUSDT+MUSDT+XLMUSDT,3,1.0,146.63,25.68,16.82,2.175,1.142,38.65,489,2.95,1431642.7
1000PEPEUSDT+TONUSDT+DYDXUSDT,3,0.75,103.45,29.59,12.62,2.749,1.117,38.11,454,2.95,811646.77
1000PEPEUSDT+TONUSDT+DYDXUSDT,3,1.0,142.34,32.94,16.5,2.772,1.113,38.11,454,2.95,1359422.72
1000PEPEUSDT+TONUSDT+RUNEUSDT,3,0.75,102.13,29.59,14.88,2.603,1.107,37.39,460,2.95,796214.3
1000PEPEUSDT+TONUSDT+RUNEUSDT,3,1.0,140.22,32.94,19.37,2.577,1.104,37.39,460,2.95,1324638.4
1000PEPEUSDT+TONUSDT+XRPUSDT,3,0.75,128.07,29.91,13.9,2.518,1.228,37.91,604,2.98,1162610.08
1000PEPEUSDT+TONUSDT+XRPUSDT,3,1.0,179.64,33.28,18.14,2.522,1.221,37.91,604,2.98,2132554.27
1000PEPEUSDT+TONUSDT+BOMEUSDT,3,0.75,97.07,29.59,11.46,2.701,1.08,38.91,460,2.95,738957.51
1000PEPEUSDT+TONUSDT+BOMEUSDT,3,1.0,132.8,32.94,14.71,2.722,1.077,38.91,460,2.95,1207550.2
1000PEPEUSDT+TONUSDT+ENSUSDT,3,0.75,97.28,29.59,11.46,2.686,1.083,39.96,478,2.95,741233.4
1000PEPEUSDT+TONUSDT+ENSUSDT,3,1.0,133.22,32.94,14.71,2.709,1.079,39.96,478,2.95,1214094.2
1000PEPEUSDT+TONUSDT+WLDUSDT,3,0.75,111.34,29.6,15.15,2.431,1.238,37.07,588,2.95,908044.92
1000PEPEUSDT+TONUSDT+WLDUSDT,3,1.0,153.02,32.95,19.73,2.436,1.248,37.07,588,2.95,1543759.58
1000PEPEUSDT+TONUSDT+XLMUSDT,3,0.75,118.58,29.97,14.98,2.428,1.146,37.42,604,2.95,1002806.27
1000PEPEUSDT+TONUSDT+XLMUSDT,3,1.0,163.35,33.35,19.5,2.422,1.141,37.42,604,2.95,1737076.85
1000PEPEUSDT+DYDXUSDT+RUNEUSDT,3,0.75,84.39,22.67,12.04,2.331,1.079,38.61,360,2.95,607387.24
1000PEPEUSDT+DYDXUSDT+RUNEUSDT,3,1.0,115.75,25.51,15.77,2.222,1.074,38.61,360,2.95,965061.34
1000PEPEUSDT+DYDXUSDT+XRPUSDT,3,0.75,109.68,23.91,12.32,2.247,1.221,38.89,504,2.98,905348.0
1000PEPEUSDT+DYDXUSDT+XRPUSDT,3,1.0,154.21,27.5,16.11,2.17,1.213,38.89,504,2.98,1605833.29
1000PEPEUSDT+DYDXUSDT+BOMEUSDT,3,0.75,79.29,22.67,8.57,2.437,1.042,40.56,360,2.95,559117.64
1000PEPEUSDT+DYDXUSDT+BOMEUSDT,3,1.0,108.17,25.51,11.28,2.361,1.038,40.56,360,2.95,868502.98
1000PEPEUSDT+DYDXUSDT+ENSUSDT,3,0.75,80.02,22.67,10.98,2.436,1.054,41.8,378,2.95,565927.0
1000PEPEUSDT+DYDXUSDT+ENSUSDT,3,1.0,109.58,25.51,14.4,2.368,1.049,41.8,378,2.95,885861.2
1000PEPEUSDT+DYDXUSDT+WLDUSDT,3,0.75,92.82,20.22,12.77,2.161,1.261,37.91,488,2.95,692943.63
1000PEPEUSDT+DYDXUSDT+WLDUSDT,3,1.0,127.28,22.49,16.67,2.093,1.283,37.91,488,2.95,1125084.95
1000PEPEUSDT+DYDXUSDT+XLMUSDT,3,0.75,100.72,22.8,13.27,2.142,1.12,38.29,504,2.95,779939.3
1000PEPEUSDT+DYDXUSDT+XLMUSDT,3,1.0,138.92,25.68,17.35,2.063,1.114,38.29,504,2.95,1303618.68
1000PEPEUSDT+RUNEUSDT+XRPUSDT,3,0.75,108.04,23.91,12.02,2.137,1.206,38.24,510,2.98,884432.59
1000PEPEUSDT+RUNEUSDT+XRPUSDT,3,1.0,151.43,27.5,15.72,2.031,1.199,38.24,510,2.98,1553996.62
1000PEPEUSDT+RUNEUSDT+BOMEUSDT,3,0.75,78.56,22.67,9.82,2.311,1.036,39.62,366,2.95,552458.44
1000PEPEUSDT+RUNEUSDT+BOMEUSDT,3,1.0,107.13,25.51,12.89,2.207,1.032,39.62,366,2.95,855695.6
1000PEPEUSDT+RUNEUSDT+ENSUSDT,3,0.75,79.04,22.67,11.96,2.297,1.041,40.89,384,2.95,556830.02
1000PEPEUSDT+RUNEUSDT+ENSUSDT,3,1.0,108.06,25.51,15.67,2.195,1.037,40.89,384,2.95,867087.42
1000PEPEUSDT+RUNEUSDT+WLDUSDT,3,0.75,90.88,20.22,13.14,2.049,1.236,37.25,494,2.95,672510.24
1000PEPEUSDT+RUNEUSDT+WLDUSDT,3,1.0,123.95,22.49,17.16,1.953,1.257,37.25,494,2.95,1077159.7
1000PEPEUSDT+RUNEUSDT+XLMUSDT,3,0.75,99.36,22.8,15.34,2.038,1.107,37.65,510,2.95,764539.91
1000PEPEUSDT+RUNEUSDT+XLMUSDT,3,1.0,136.72,25.68,19.93,1.934,1.102,37.65,510,2.95,1268580.25
1000PEPEUSDT+XRPUSDT+BOMEUSDT,3,0.75,102.77,23.91,9.76,2.217,1.177,39.61,510,2.98,819424.5
1000PEPEUSDT+XRPUSDT+BOMEUSDT,3,1.0,143.49,27.5,12.83,2.142,1.17,39.61,510,2.98,1412574.75
1000PEPEUSDT+XRPUSDT+ENSUSDT,3,0.75,103.16,23.91,12.05,2.207,1.183,40.53,528,2.98,824085.63
1000PEPEUSDT+XRPUSDT+ENSUSDT,3,1.0,144.27,27.5,15.78,2.134,1.176,40.53,528,2.98,1426032.9
1000PEPEUSDT+XRPUSDT+WLDUSDT,3,0.75,116.69,22.94,14.55,2.024,1.376,37.77,638,2.98,998350.7
1000PEPEUSDT+XRPUSDT+WLDUSDT,3,1.0,163.17,26.36,18.99,1.947,1.395,37.77,638,2.98,1780022.1
1000PEPEUSDT+XRPUSDT+XLMUSDT,3,0.75,118.79,26.26,14.14,1.986,1.204,38.07,654,2.98,1027425.05
1000PEPEUSDT+XRPUSDT+XLMUSDT,3,1.0,164.38,30.48,18.42,1.899,1.189,38.07,654,2.98,1804546.13
1000PEPEUSDT+BOMEUSDT+ENSUSDT,3,0.75,74.02,22.67,9.31,2.401,1.008,42.71,384,2.95,512041.25
1000PEPEUSDT+BOMEUSDT+ENSUSDT,3,1.0,100.62,25.51,12.26,2.335,1.003,42.71,384,2.95,778790.13
1000PEPEUSDT+BOMEUSDT+WLDUSDT,3,0.75,86.54,20.22,11.51,2.129,1.212,38.66,494,2.95,628450.02
1000PEPEUSDT+BOMEUSDT+WLDUSDT,3,1.0,117.84,22.49,15.18,2.063,1.233,38.66,494,2.95,992925.47
1000PEPEUSDT+BOMEUSDT+XLMUSDT,3,0.75,94.02,22.8,10.15,2.114,1.077,39.02,510,2.95,705692.77
1000PEPEUSDT+BOMEUSDT+XLMUSDT,3,1.0,128.74,25.68,13.34,2.038,1.072,39.02,510,2.95,1146525.26
1000PEPEUSDT+ENSUSDT+WLDUSDT,3,0.75,86.06,20.22,13.65,2.115,1.215,39.65,512,2.95,623718.33
1000PEPEUSDT+ENSUSDT+WLDUSDT,3,1.0,117.0,22.49,17.92,2.049,1.236,39.65,512,2.95,981552.12
1000PEPEUSDT+ENSUSDT+XLMUSDT,3,0.75,94.4,22.8,12.45,2.105,1.081,39.96,528,2.95,709765.5
1000PEPEUSDT+ENSUSDT+XLMUSDT,3,1.0,129.49,25.68,16.32,2.03,1.076,39.96,528,2.95,1157622.48
1000PEPEUSDT+WLDUSDT+XLMUSDT,3,0.75,107.23,20.8,16.75,1.951,1.252,37.3,638,2.95,856960.92
1000PEPEUSDT+WLDUSDT+XLMUSDT,3,1.0,146.98,24.66,21.81,1.87,1.265,37.3,638,2.95,1437618.21
MUSDT+TONUSDT+DYDXUSDT,3,0.75,56.72,29.69,12.1,2.734,1.07,36.02,322,2.71,338265.9
MUSDT+TONUSDT+DYDXUSDT,3,1.0,76.81,33.07,15.83,2.837,1.071,36.02,322,2.71,469178.98
MUSDT+TONUSDT+RUNEUSDT,3,0.75,55.16,29.69,15.24,2.537,1.047,35.06,328,2.71,329223.79
MUSDT+TONUSDT+RUNEUSDT,3,1.0,74.26,33.07,19.83,2.566,1.047,35.06,328,2.71,451056.72
MUSDT+TONUSDT+XRPUSDT,3,0.75,69.99,30.02,12.09,2.437,1.186,36.44,472,2.98,484907.42
MUSDT+TONUSDT+XRPUSDT,3,1.0,95.74,33.42,15.81,2.493,1.187,36.44,472,2.98,737751.81
MUSDT+TONUSDT+BOMEUSDT,3,0.75,51.35,29.69,11.18,2.652,1.007,37.2,328,2.71,307721.64
MUSDT+TONUSDT+BOMEUSDT,3,1.0,69.16,33.07,14.3,2.755,1.009,37.2,328,2.71,416154.28
MUSDT+TONUSDT+ENSUSDT,3,0.75,51.56,29.69,11.18,2.636,1.021,38.73,346,2.71,308928.05
MUSDT+TONUSDT+ENSUSDT,3,1.0,69.59,33.07,14.3,2.739,1.022,38.73,346,2.71,419029.08
MUSDT+TONUSDT+WLDUSDT,3,0.75,64.92,29.7,13.5,2.352,1.141,35.31,456,2.83,411180.87
MUSDT+TONUSDT+WLDUSDT,3,1.0,88.28,33.09,17.63,2.399,1.14,35.31,456,2.83,597962.92
MUSDT+TONUSDT+XLMUSDT,3,0.75,62.42,30.17,15.23,2.311,1.017,35.81,472,2.94,416264.0
MUSDT+TONUSDT+XLMUSDT,3,1.0,83.53,33.86,19.82,2.353,1.019,35.81,472,2.94,596175.9
MUSDT+DYDXUSDT+RUNEUSDT,3,0.75,104.98,14.48,12.79,2.218,1.776,35.96,228,1.25,246035.07
MUSDT+DYDXUSDT+RUNEUSDT,3,1.0,151.66,18.81,16.72,2.158,1.766,35.96,228,1.25,318238.13
MUSDT+DYDXUSDT+XRPUSDT,3,0.75,55.2,12.29,8.8,2.148,1.443,37.37,372,2.98,369836.25
MUSDT+DYDXUSDT+XRPUSDT,3,1.0,76.0,15.64,11.58,2.12,1.44,37.37,372,2.98,537724.17
MUSDT+DYDXUSDT+BOMEUSDT,3,0.75,92.83,9.79,6.51,2.338,1.584,39.04,228,1.25,227884.94
MUSDT+DYDXUSDT+BOMEUSDT,3,1.0,133.25,12.4,8.62,2.334,1.579,39.04,228,1.25,289319.32
MUSDT+DYDXUSDT+ENSUSDT,3,0.75,94.76,10.19,7.1,2.343,1.878,41.06,246,1.26,231031.99
MUSDT+DYDXUSDT+ENSUSDT,3,1.0,137.24,13.3,9.37,2.349,1.869,41.06,246,1.26,296004.82
MUSDT+DYDXUSDT+WLDUSDT,3,0.75,48.91,12.36,9.86,2.05,1.434,35.96,356,2.83,308130.72
MUSDT+DYDXUSDT+WLDUSDT,3,1.0,66.7,15.95,12.96,2.023,1.429,35.96,356,2.83,423866.79
MUSDT+DYDXUSDT+XLMUSDT,3,0.75,48.06,17.4,15.73,1.996,1.079,36.56,372,2.94,317062.05
MUSDT+DYDXUSDT+XLMUSDT,3,1.0,64.61,22.55,20.47,1.963,1.076,36.56,372,2.94,432971.34
MUSDT+RUNEUSDT+XRPUSDT,3,0.75,53.6,15.43,12.81,2.017,1.394,36.51,378,2.98,358619.73
MUSDT+RUNEUSDT+XRPUSDT,3,1.0,73.35,19.96,16.75,1.952,1.39,36.51,378,2.98,513931.93
MUSDT+RUNEUSDT+BOMEUSDT,3,0.75,90.02,12.23,10.23,2.159,1.606,37.61,234,1.25,223653.43
MUSDT+RUNEUSDT+BOMEUSDT,3,1.0,128.54,15.93,13.42,2.111,1.601,37.61,234,1.25,281899.55
MUSDT+RUNEUSDT+ENSUSDT,3,0.75,91.19,11.65,9.31,2.148,1.846,39.68,252,1.26,225724.12
MUSDT+RUNEUSDT+ENSUSDT,3,1.0,131.08,15.19,12.25,2.1,1.841,39.68,252,1.26,286376.61
MUSDT+RUNEUSDT+WLDUSDT,3,0.75,46.95,15.73,13.3,1.915,1.369,35.08,362,2.83,296788.83
MUSDT+RUNEUSDT+WLDUSDT,3,1.0,63.41,20.4,17.43,1.852,1.362,35.08,362,2.83,400659.26
MUSDT+RUNEUSDT+XLMUSDT,3,0.75,46.68,17.4,15.76,1.878,1.049,35.71,378,2.94,308461.27
MUSDT+RUNEUSDT+XLMUSDT,3,1.0,62.38,22.55,20.47,1.815,1.046,35.71,378,2.94,415986.71
MUSDT+XRPUSDT+BOMEUSDT,3,0.75,50.03,12.29,7.8,2.092,1.342,38.36,378,2.98,334401.26
MUSDT+XRPUSDT+BOMEUSDT,3,1.0,68.47,15.64,10.27,2.067,1.341,38.36,378,2.98,472135.08
MUSDT+XRPUSDT+ENSUSDT,3,0.75,50.39,14.39,10.34,2.084,1.405,39.65,396,2.98,336790.55
MUSDT+XRPUSDT+ENSUSDT,3,1.0,69.17,18.05,13.59,2.062,1.402,39.65,396,2.98,477959.11
MUSDT+XRPUSDT+WLDUSDT,3,0.75,65.14,17.92,15.37,1.929,1.467,36.36,506,2.98,444885.67
MUSDT+XRPUSDT+WLDUSDT,3,1.0,89.87,23.0,20.0,1.882,1.463,36.36,506,2.98,673845.59
MUSDT+XRPUSDT+XLMUSDT,3,0.75,61.66,21.32,16.09,1.86,1.215,36.78,522,2.98,417525.54
MUSDT+XRPUSDT+XLMUSDT,3,1.0,82.55,27.2,21.01,1.809,1.205,36.78,522,2.98,599419.29
MUSDT+BOMEUSDT+ENSUSDT,3,0.75,79.7,9.38,6.31,2.259,1.664,42.46,252,1.26,208818.42
MUSDT+BOMEUSDT+ENSUSDT,3,1.0,113.79,12.37,8.33,2.272,1.659,42.46,252,1.26,259732.72
MUSDT+BOMEUSDT+WLDUSDT,3,0.75,43.82,14.14,12.26,1.991,1.326,37.02,362,2.83,279256.79
MUSDT+BOMEUSDT+WLDUSDT,3,1.0,59.42,18.47,16.09,1.969,1.323,37.02,362,2.83,373616.74
MUSDT+BOMEUSDT+XLMUSDT,3,0.75,43.02,17.4,15.73,1.938,1.0,37.57,378,2.94,286369.41
MUSDT+BOMEUSDT+XLMUSDT,3,1.0,57.39,22.55,20.47,1.909,0.999,37.57,378,2.94,379455.59
MUSDT+ENSUSDT+WLDUSDT,3,0.75,43.45,16.12,14.92,1.976,1.399,38.42,380,2.83,277265.04
MUSDT+ENSUSDT+WLDUSDT,3,1.0,58.8,20.91,19.48,1.953,1.395,38.42,380,2.83,369558.58
MUSDT+ENSUSDT+XLMUSDT,3,0.75,43.38,17.4,15.73,1.933,1.02,38.89,396,2.94,288491.04
MUSDT+ENSUSDT+XLMUSDT,3,1.0,58.07,22.55,20.47,1.906,1.018,38.89,396,2.94,384352.99
MUSDT+WLDUSDT+XLMUSDT,3,0.75,57.45,19.49,18.03,1.83,1.162,35.77,506,2.94,379888.76
MUSDT+WLDUSDT+XLMUSDT,3,1.0,77.38,25.15,23.35,1.779,1.159,35.77,506,2.94,539376.83
TONUSDT+DYDXUSDT+RUNEUSDT,3,0.75,51.7,29.69,14.37,2.344,1.012,34.69,343,2.71,309669.09
TONUSDT+DYDXUSDT+RUNEUSDT,3,1.0,68.91,33.07,18.73,2.376,1.009,34.69,343,2.71,414490.83
TONUSDT+DYDXUSDT+XRPUSDT,3,0.75,66.72,30.02,11.54,2.278,1.161,36.14,487,2.98,457621.31
TONUSDT+DYDXUSDT+XRPUSDT,3,1.0,90.59,33.42,15.14,2.324,1.159,36.14,487,2.98,681473.74
TONUSDT+DYDXUSDT+BOMEUSDT,3,0.75,47.68,29.69,11.18,2.415,0.961,36.73,343,2.71,287933.75
TONUSDT+DYDXUSDT+BOMEUSDT,3,1.0,63.43,33.07,14.38,2.497,0.961,36.73,343,2.71,379022.39
TONUSDT+DYDXUSDT+ENSUSDT,3,0.75,48.29,29.69,11.18,2.419,0.989,38.23,361,2.71,291175.34
TONUSDT+DYDXUSDT+ENSUSDT,3,1.0,64.58,33.07,14.3,2.51,0.987,38.23,361,2.71,386264.14
TONUSDT+DYDXUSDT+WLDUSDT,3,0.75,62.58,29.7,11.96,2.229,1.125,35.03,471,2.83,394916.16
TONUSDT+DYDXUSDT+WLDUSDT,3,1.0,84.96,33.09,15.65,2.281,1.124,35.03,471,2.83,568655.98
TONUSDT+DYDXUSDT+XLMUSDT,3,0.75,58.92,30.17,15.07,2.168,0.988,35.52,487,2.94,390430.24
TONUSDT+DYDXUSDT+XLMUSDT,3,1.0,78.0,33.86,19.66,2.202,0.986,35.52,487,2.94,544905.42
TONUSDT+RUNEUSDT+XRPUSDT,3,0.75,64.72,30.02,14.37,2.152,1.13,35.5,493,2.98,441502.92
TONUSDT+RUNEUSDT+XRPUSDT,3,1.0,87.2,33.42,18.71,2.151,1.126,35.5,493,2.98,646056.5
TONUSDT+RUNEUSDT+BOMEUSDT,3,0.75,46.43,29.69,12.21,2.27,0.946,35.82,349,2.71,281378.0
TONUSDT+RUNEUSDT+BOMEUSDT,3,1.0,61.49,33.07,15.95,2.302,0.945,35.82,349,2.71,366908.1
TONUSDT+RUNEUSDT+ENSUSDT,3,0.75,46.75,29.69,11.18,2.258,0.957,37.33,367,2.71,283008.71
TONUSDT+RUNEUSDT+ENSUSDT,3,1.0,62.08,33.07,14.3,2.289,0.955,37.33,367,2.71,370566.84
TONUSDT+RUNEUSDT+WLDUSDT,3,0.75,60.11,29.7,15.12,2.091,1.086,34.38,477,2.83,378218.65
TONUSDT+RUNEUSDT+WLDUSDT,3,1.0,80.71,33.09,19.67,2.092,1.083,34.38,477,2.83,532454.57
TONUSDT+RUNEUSDT+XLMUSDT,3,0.75,57.17,30.17,17.59,2.048,0.964,34.89,493,2.94,377947.48
TONUSDT+RUNEUSDT+XLMUSDT,3,1.0,75.12,33.86,22.75,2.039,0.961,34.89,493,2.94,519382.72
TONUSDT+XRPUSDT+BOMEUSDT,3,0.75,61.15,30.02,10.52,2.207,1.095,36.92,493,2.98,413663.37
TONUSDT+XRPUSDT+BOMEUSDT,3,1.0,82.42,33.42,13.8,2.246,1.095,36.92,493,2.98,598145.54
TONUSDT+XRPUSDT+ENSUSDT,3,0.75,61.36,30.02,13.26,2.197,1.109,37.96,511,2.98,415225.54
TONUSDT+XRPUSDT+ENSUSDT,3,1.0,82.82,33.42,17.35,2.236,1.107,37.96,511,2.98,602100.67
TONUSDT+XRPUSDT+WLDUSDT,3,0.75,78.2,30.03,16.61,2.091,1.235,35.59,621,2.98,557944.11
TONUSDT+XRPUSDT+WLDUSDT,3,1.0,107.15,33.43,21.56,2.107,1.234,35.59,621,2.98,873254.91
TONUSDT+XRPUSDT+XLMUSDT,3,0.75,72.77,30.4,16.08,2.012,1.101,35.95,637,2.98,508884.92
TONUSDT+XRPUSDT+XLMUSDT,3,1.0,96.32,33.84,21.01,2.009,1.093,35.95,637,2.98,744250.59
TONUSDT+BOMEUSDT+ENSUSDT,3,0.75,42.85,29.69,11.18,2.321,0.918,39.24,367,2.71,263101.19
TONUSDT+BOMEUSDT+ENSUSDT,3,1.0,56.81,33.07,14.3,2.403,0.917,39.24,367,2.71,338795.02
TONUSDT+BOMEUSDT+WLDUSDT,3,0.75,57.0,29.7,13.57,2.159,1.06,35.85,477,2.83,357787.64
TONUSDT+BOMEUSDT+WLDUSDT,3,1.0,76.86,33.09,17.78,2.207,1.061,35.85,477,2.83,500996.3
TONUSDT+BOMEUSDT+XLMUSDT,3,0.75,53.52,30.17,15.07,2.099,0.93,36.31,493,2.94,352720.59
TONUSDT+BOMEUSDT+XLMUSDT,3,1.0,70.23,33.86,19.66,2.129,0.929,36.31,493,2.94,477929.13
TONUSDT+ENSUSDT+WLDUSDT,3,0.75,56.4,29.7,15.66,2.138,1.063,36.97,495,2.83,353990.26
TONUSDT+ENSUSDT+WLDUSDT,3,1.0,75.8,33.09,20.44,2.18,1.061,36.97,495,2.83,492604.0
TONUSDT+ENSUSDT+XLMUSDT,3,0.75,53.73,30.17,15.07,2.09,0.935,37.38,511,2.94,354099.2
TONUSDT+ENSUSDT+XLMUSDT,3,1.0,70.63,33.86,19.66,2.12,0.934,37.38,511,2.94,481229.65
TONUSDT+WLDUSDT+XLMUSDT,3,0.75,69.78,30.09,19.61,2.013,1.073,35.1,621,2.94,474203.52
TONUSDT+WLDUSDT+XLMUSDT,3,1.0,93.29,33.51,25.31,2.019,1.072,35.1,621,2.94,694302.89
DYDXUSDT+RUNEUSDT+XRPUSDT,3,0.75,50.86,14.65,11.52,1.902,1.374,36.13,393,2.98,339911.48
DYDXUSDT+RUNEUSDT+XRPUSDT,3,1.0,69.23,18.91,15.08,1.853,1.368,36.13,393,2.98,478439.18
DYDXUSDT+RUNEUSDT+BOMEUSDT,3,0.75,80.78,13.77,11.16,1.97,1.428,36.95,249,1.25,210157.43
