pairs,oos_annual,oos_dd,oos_pf,oos_trades,is_annual,is_dd,is_pf,is_trades
DOTUSDT+AVAXUSDT+SNXUSDT,133.2,12.49,1.682,336,111.32,14.3,1.56,378
DOTUSDT+AVAXUSDT+ENSUSDT,153.31,10.13,1.647,367,93.0,13.07,1.554,357
DOTUSDT+AVAXUSDT+RUNEUSDT,127.58,9.9,1.715,351,133.03,10.18,1.69,386
DOTUSDT+AVAXUSDT+XRPUSDT,115.22,12.15,1.582,336,75.06,15.8,1.515,329
DOTUSDT+AVAXUSDT+BNBUSDT,109.27,14.33,1.534,346,77.87,18.03,1.517,343
DOTUSDT+AVAXUSDT+ADAUSDT,100.32,12.94,1.529,342,110.96,10.06,1.603,367
DOTUSDT+SNXUSDT+ENSUSDT,226.53,11.93,1.865,372,106.21,18.8,1.527,371
DOTUSDT+SNXUSDT+RUNEUSDT,194.76,10.05,1.994,356,149.11,15.5,1.644,400
DOTUSDT+SNXUSDT+XRPUSDT,179.26,10.33,1.815,341,86.63,16.73,1.495,343
DOTUSDT+SNXUSDT+BNBUSDT,170.93,9.81,1.748,351,90.27,15.72,1.498,357
DOTUSDT+SNXUSDT+ADAUSDT,160.21,10.11,1.76,347,125.57,16.45,1.568,381
DOTUSDT+ENSUSDT+RUNEUSDT,220.45,12.02,1.921,387,127.17,16.14,1.65,379
DOTUSDT+ENSUSDT+XRPUSDT,202.79,13.06,1.756,372,70.37,18.56,1.477,322
DOTUSDT+ENSUSDT+BNBUSDT,193.61,12.12,1.703,382,73.26,16.66,1.479,336
DOTUSDT+ENSUSDT+ADAUSDT,181.39,14.03,1.713,378,105.86,17.12,1.568,360
DOTUSDT+RUNEUSDT+XRPUSDT,172.14,10.21,1.858,356,106.41,13.06,1.626,351
DOTUSDT+RUNEUSDT+BNBUSDT,163.83,10.13,1.791,366,109.62,15.7,1.624,365
DOTUSDT+RUNEUSDT+ADAUSDT,153.4,9.99,1.798,362,149.11,15.42,1.696,389
DOTUSDT+XRPUSDT+BNBUSDT,150.56,14.33,1.647,351,57.35,19.02,1.43,308
DOTUSDT+XRPUSDT+ADAUSDT,140.25,15.92,1.652,347,86.46,14.43,1.536,332
DOTUSDT+BNBUSDT+ADAUSDT,133.6,12.16,1.602,357,89.72,15.09,1.537,346
AVAXUSDT+SNXUSDT+ENSUSDT,160.84,12.76,1.749,356,98.25,14.76,1.5,379
AVAXUSDT+SNXUSDT+RUNEUSDT,135.43,10.81,1.835,340,139.06,12.62,1.617,408
AVAXUSDT+SNXUSDT+XRPUSDT,122.77,12.33,1.682,325,79.54,13.7,1.464,351
AVAXUSDT+SNXUSDT+BNBUSDT,116.64,11.42,1.623,335,82.37,12.34,1.467,365
AVAXUSDT+SNXUSDT+ADAUSDT,107.94,11.63,1.622,331,117.07,16.59,1.544,389
AVAXUSDT+ENSUSDT+RUNEUSDT,155.1,15.41,1.788,371,118.04,9.93,1.618,387
AVAXUSDT+ENSUSDT+XRPUSDT,140.84,18.46,1.644,356,63.92,15.84,1.441,330
AVAXUSDT+ENSUSDT+BNBUSDT,134.11,16.68,1.597,366,66.29,15.42,1.443,344
AVAXUSDT+ENSUSDT+ADAUSDT,124.23,18.85,1.596,362,98.24,12.44,1.539,368
AVAXUSDT+RUNEUSDT+XRPUSDT,116.52,12.81,1.706,340,98.27,9.78,1.589,359
AVAXUSDT+RUNEUSDT+BNBUSDT,110.41,12.11,1.648,350,101.08,9.96,1.587,373
AVAXUSDT+RUNEUSDT+ADAUSDT,101.98,13.77,1.641,346,139.5,11.29,1.667,397
AVAXUSDT+XRPUSDT+BNBUSDT,99.58,14.47,1.525,335,51.16,11.9,1.39,316
AVAXUSDT+XRPUSDT+ADAUSDT,91.17,15.19,1.518,331,79.68,14.8,1.502,340
AVAXUSDT+BNBUSDT+ADAUSDT,86.27,15.12,1.474,341,82.27,12.42,1.503,354
SNXUSDT+ENSUSDT+RUNEUSDT,230.24,15.83,2.058,376,132.83,16.58,1.579,401
SNXUSDT+ENSUSDT+XRPUSDT,212.11,18.13,1.87,361,74.81,18.98,1.428,344
SNXUSDT+ENSUSDT+BNBUSDT,202.7,14.6,1.806,371,77.48,17.21,1.431,358
SNXUSDT+ENSUSDT+ADAUSDT,190.88,16.14,1.821,367,111.62,19.33,1.51,382
SNXUSDT+RUNEUSDT+XRPUSDT,182.07,10.61,1.995,345,111.26,13.71,1.555,373
SNXUSDT+RUNEUSDT+BNBUSDT,173.48,10.47,1.914,355,114.76,15.86,1.555,387
SNXUSDT+RUNEUSDT+ADAUSDT,163.36,8.73,1.926,351,155.74,18.7,1.621,411
SNXUSDT+XRPUSDT+BNBUSDT,158.74,10.8,1.75,340,60.97,15.3,1.387,330
SNXUSDT+XRPUSDT+ADAUSDT,148.75,11.54,1.759,336,91.37,20.55,1.48,354
SNXUSDT+BNBUSDT+ADAUSDT,141.89,10.59,1.698,346,94.66,17.88,1.483,368
ENSUSDT+RUNEUSDT+XRPUSDT,204.95,20.42,1.917,376,92.63,14.29,1.546,352
ENSUSDT+RUNEUSDT+BNBUSDT,195.53,17.0,1.853,386,95.53,16.25,1.544,366
ENSUSDT+RUNEUSDT+ADAUSDT,184.01,18.54,1.863,382,133.25,15.95,1.626,390
ENSUSDT+XRPUSDT+BNBUSDT,180.06,20.18,1.701,371,46.71,17.35,1.35,309
ENSUSDT+XRPUSDT+ADAUSDT,168.68,20.87,1.708,367,74.7,15.61,1.464,333
ENSUSDT+BNBUSDT+ADAUSDT,161.21,19.08,1.659,377,77.39,15.62,1.465,347
RUNEUSDT+XRPUSDT+BNBUSDT,151.97,12.18,1.784,355,78.04,12.83,1.507,338
RUNEUSDT+XRPUSDT+ADAUSDT,142.27,12.7,1.788,351,111.81,14.17,1.602,362
RUNEUSDT+BNBUSDT+ADAUSDT,135.43,12.36,1.728,361,115.0,15.51,1.6,376
XRPUSDT+BNBUSDT+ADAUSDT,122.85,15.13,1.593,346,61.01,14.56,1.42,319
