pairs,oos_annual,oos_dd,oos_pf,oos_sharpe,oos_trades,is_annual,is_dd,is_pf,is_trades,passes
BCH+BNB+DOGE,109.3,7.28,1.71,3.55,336,57.6,11.68,1.54,311,no
BCH+BNB+ENS,138.0,15.89,1.79,3.89,358,61.9,12.66,1.55,327,no
BCH+BNB+ETH,120.8,12.48,1.87,3.82,317,58.0,8.91,1.58,299,no
BCH+BNB+HBAR,79.5,12.31,1.56,2.99,323,64.5,6.99,1.53,348,no
BCH+BNB+LTC,122.5,10.64,1.78,3.63,343,57.0,15.1,1.49,332,no
BCH+BNB+SNX,122.7,8.96,1.84,3.81,327,76.0,12.12,1.58,348,no
BCH+BNB+TON,120.5,8.94,1.82,3.78,331,61.9,8.92,1.60,299,no
BCH+BNB+VET,93.0,8.1,1.63,3.16,354,60.5,10.26,1.54,331,no
BCH+BNB+WLD,108.6,12.08,1.74,3.69,338,49.5,11.45,1.46,319,no
BCH+BNB+XRP,107.5,12.4,1.72,3.52,327,49.1,11.29,1.49,299,no
BCH+BTC+DOGE,80.8,7.07,1.54,2.98,320,44.7,13.83,1.44,308,no
BCH+BTC+ENS,105.0,13.54,1.62,3.21,342,48.9,15.41,1.45,324,no
BCH+BTC+ETH,90.2,9.45,1.68,3.15,301,45.1,12.9,1.46,296,no
BCH+BTC+HBAR,54.8,10.91,1.40,2.29,307,51.3,9.62,1.44,345,no
BCH+BTC+LTC,92.4,8.75,1.60,3.15,327,44.3,18.42,1.39,329,no
BCH+BTC+SNX,92.1,10.6,1.64,3.25,311,61.4,13.99,1.48,345,no
BCH+BTC+TON,89.9,8.97,1.63,3.13,315,48.6,10.79,1.48,296,no
BCH+BTC+VET,66.5,10.69,1.47,2.57,338,47.2,16.76,1.44,328,no
BCH+BTC+WLD,80.0,8.57,1.56,3.12,322,37.3,13.68,1.36,316,no
BCH+BTC+XRP,79.2,11.55,1.55,2.96,311,36.9,14.25,1.38,296,no
BCH+DOGE+ENS,145.5,14.25,1.84,3.94,357,69.0,10.55,1.60,325,no
BCH+DOGE+ETH,127.8,7.25,1.93,4.07,316,64.7,10.98,1.63,297,no
BCH+DOGE+HBAR,85.4,7.89,1.60,3.29,322,71.5,7.25,1.58,346,no
BCH+DOGE+LTC,129.8,7.57,1.83,3.96,342,64.0,15.35,1.53,330,no
BCH+DOGE+SNX,129.5,8.1,1.89,4.07,326,83.4,10.79,1.62,346,no
BCH+DOGE+TON,127.3,7.22,1.87,4.11,330,68.9,11.04,1.65,297,no
BCH+DOGE+VET,99.0,9.76,1.68,3.28,353,67.3,10.27,1.60,329,no
BCH+DOGE+WLD,115.2,9.45,1.79,3.95,337,55.9,10.33,1.50,317,no
BCH+DOGE+XRP,114.0,9.22,1.77,3.72,326,55.4,9.27,1.55,297,no
BCH+ENS+ETH,158.8,16.97,2.01,4.34,338,69.3,11.0,1.64,313,no
BCH+ENS+HBAR,110.5,13.79,1.69,3.44,344,76.3,9.92,1.58,362,no
BCH+ENS+LTC,161.3,15.19,1.91,4.31,364,68.4,12.02,1.54,346,no
BCH+ENS+SNX,160.9,12.72,1.98,4.25,348,88.4,15.06,1.62,362,no
BCH+ENS+TON,158.3,13.99,1.95,4.47,352,73.5,9.92,1.65,313,no
BCH+ENS+VET,126.1,13.66,1.76,3.54,375,71.7,13.25,1.60,345,no
BCH+ENS+WLD,144.3,15.9,1.87,4.11,359,60.1,13.17,1.51,333,no
BCH+ENS+XRP,143.5,16.98,1.85,4.07,348,59.8,12.2,1.55,313,no
BCH+ETH+HBAR,95.4,10.86,1.75,3.56,303,71.9,9.19,1.61,334,no
BCH+ETH+LTC,142.2,11.51,2.02,4.2,323,64.0,12.0,1.56,318,no
BCH+ETH+SNX,142.1,6.71,2.10,4.36,307,83.8,10.31,1.66,334,no
BCH+ETH+TON,139.7,12.32,2.06,4.36,311,69.2,6.65,1.69,285,no
BCH+ETH+VET,110.1,7.73,1.84,3.7,334,67.5,8.98,1.63,317,no
BCH+ETH+WLD,126.9,11.38,1.97,4.19,318,56.1,10.44,1.53,305,no
BCH+ETH+XRP,125.7,14.06,1.94,3.98,307,55.8,10.22,1.58,285,no
BCH+HBAR+LTC,97.0,10.33,1.67,3.38,329,71.1,7.68,1.52,367,no
BCH+HBAR+SNX,97.0,8.19,1.72,3.4,313,91.1,10.18,1.60,383,no
BCH+HBAR+TON,94.4,13.48,1.70,3.28,317,76.1,8.0,1.62,334,no
BCH+HBAR+VET,70.4,8.31,1.52,2.68,340,74.4,13.4,1.58,366,no
BCH+HBAR+WLD,84.2,14.45,1.62,3.07,324,62.5,7.51,1.50,354,no
BCH+HBAR+XRP,83.5,10.82,1.61,3.18,313,62.3,8.87,1.54,334,no
BCH+LTC+SNX,144.4,7.11,1.98,4.33,333,82.5,15.97,1.56,367,no
BCH+LTC+TON,141.9,8.49,1.96,4.31,337,68.2,12.76,1.58,318,no
BCH+LTC+VET,111.9,7.8,1.75,3.5,360,66.6,11.88,1.53,350,no
BCH+LTC+WLD,129.3,10.75,1.86,3.98,344,55.1,12.35,1.45,338,no
BCH+LTC+XRP,127.8,11.57,1.85,3.94,333,55.0,14.02,1.49,318,no
BCH+SNX+TON,141.9,8.89,2.03,4.26,321,88.3,9.39,1.66,334,no
BCH+SNX+VET,111.8,8.97,1.80,3.69,344,86.8,12.56,1.62,366,no
BCH+SNX+WLD,128.8,10.92,1.93,4.16,328,74.1,12.26,1.54,354,no
BCH+SNX+XRP,127.8,8.32,1.91,4.03,317,73.0,12.57,1.58,334,no
BCH+TON+VET,109.3,7.39,1.78,3.59,348,71.7,9.48,1.65,317,no
BCH+TON+WLD,126.2,14.5,1.90,4.18,332,59.9,8.73,1.55,305,no
BCH+TON+XRP,124.9,11.07,1.88,3.91,321,59.6,8.84,1.60,285,no
BCH+VET+WLD,98.1,8.83,1.70,3.35,355,58.6,10.69,1.50,337,no
BCH+VET+XRP,97.4,8.93,1.68,3.36,344,58.1,11.36,1.55,317,no
BCH+WLD+XRP,113.5,12.29,1.80,3.95,328,47.5,12.52,1.46,305,no
BNB+BTC+DOGE,79.8,10.97,1.46,2.7,343,26.0,16.47,1.25,304,no
BNB+BTC+ENS,104.1,12.47,1.53,3.03,365,29.8,20.22,1.27,320,no
BNB+BTC+ETH,89.5,12.2,1.57,2.89,324,26.4,16.75,1.26,292,no
BNB+BTC+HBAR,54.3,15.45,1.34,2.16,330,31.8,19.98,1.27,341,no
BNB+BTC+LTC,91.5,11.45,1.52,2.85,350,25.8,20.05,1.23,325,no
BNB+BTC+SNX,91.3,10.24,1.55,3.11,334,40.6,22.09,1.31,341,no
BNB+BTC+TON,89.6,9.12,1.54,3.05,338,29.5,14.92,1.29,292,no
BNB+BTC+VET,65.8,9.98,1.40,2.39,361,28.3,24.05,1.26,324,no
BNB+BTC+WLD,79.4,9.17,1.48,2.98,345,19.5,23.96,1.19,312,no
BNB+BTC+XRP,78.5,11.67,1.47,2.72,334,19.4,20.23,1.20,292,no
BNB+DOGE+ENS,144.6,14.04,1.71,3.5,380,47.0,11.46,1.40,321,no
BNB+DOGE+ETH,127.4,10.57,1.78,3.49,339,43.2,12.88,1.41,293,no
BNB+DOGE+HBAR,84.8,15.59,1.51,2.84,345,49.3,10.65,1.39,342,no
BNB+DOGE+LTC,128.1,10.97,1.70,3.48,365,42.7,14.41,1.35,326,no
BNB+DOGE+SNX,128.2,10.56,1.75,3.57,349,59.5,11.11,1.44,342,no
BNB+DOGE+TON,126.3,8.25,1.74,3.74,353,46.9,11.15,1.43,293,no
BNB+DOGE+VET,98.2,11.6,1.57,2.96,376,45.5,11.62,1.39,325,no
BNB+DOGE+WLD,113.8,11.01,1.67,3.56,360,35.5,14.12,1.32,313,no
BNB+DOGE+XRP,113.3,11.6,1.65,3.24,349,35.4,11.82,1.34,293,no
BNB+ENS+ETH,158.2,17.63,1.85,3.89,361,47.4,11.75,1.43,309,no
BNB+ENS+HBAR,110.0,14.91,1.58,3.14,367,53.6,13.45,1.40,358,no
BNB+ENS+LTC,159.5,15.81,1.77,3.93,387,46.7,16.17,1.36,342,no
BNB+ENS+SNX,159.8,12.59,1.82,3.88,371,64.1,14.94,1.44,358,no
BNB+ENS+TON,157.4,13.55,1.81,4.2,375,51.0,14.48,1.44,309,no
BNB+ENS+VET,125.4,14.49,1.65,3.22,398,49.5,19.42,1.40,341,no
BNB+ENS+WLD,142.9,14.77,1.74,3.81,382,39.3,18.67,1.33,329,no
BNB+ENS+XRP,143.0,17.53,1.72,3.63,371,39.3,15.01,1.35,309,no
BNB+ETH+HBAR,95.0,12.85,1.63,3.17,326,49.6,14.08,1.41,330,no
BNB+ETH+LTC,140.6,15.57,1.86,3.75,346,42.8,14.52,1.37,314,no
BNB+ETH+SNX,141.1,9.63,1.92,3.88,330,60.0,11.46,1.46,330,no
BNB+ETH+TON,138.9,10.71,1.90,4.13,334,47.2,9.11,1.46,281,no
BNB+ETH+VET,109.6,13.34,1.71,3.28,357,45.8,11.91,1.42,313,no
BNB+ETH+WLD,125.7,12.29,1.81,3.84,341,35.8,15.1,1.33,301,no
BNB+ETH+XRP,125.4,14.2,1.79,3.46,330,35.7,12.98,1.36,281,no
BNB+HBAR+LTC,95.9,13.88,1.57,3.06,352,49.1,9.06,1.36,363,no
BNB+HBAR+SNX,96.3,10.39,1.60,3.15,336,66.5,14.87,1.43,379,no
BNB+HBAR+TON,94.0,14.12,1.59,3.15,340,53.4,14.26,1.43,330,no
BNB+HBAR+VET,70.0,16.7,1.44,2.41,363,51.9,17.07,1.39,362,no
BNB+HBAR+WLD,83.4,12.7,1.52,2.89,347,41.5,12.35,1.32,350,no
BNB+HBAR+XRP,83.1,17.11,1.51,2.81,336,41.6,11.92,1.35,330,no
BNB+LTC+SNX,142.8,8.88,1.82,3.82,356,59.0,14.61,1.40,363,no
BNB+LTC+TON,141.2,9.93,1.81,3.92,360,46.5,10.48,1.39,314,no
BNB+LTC+VET,110.5,12.62,1.64,3.17,383,45.1,14.37,1.36,346,no
BNB+LTC+WLD,128.1,11.44,1.73,3.67,367,35.0,13.1,1.29,334,no
BNB+LTC+XRP,126.4,12.22,1.72,3.52,356,35.1,15.61,1.31,314,no
BNB+SNX+TON,141.1,7.88,1.86,4.12,344,63.9,12.12,1.47,330,no
BNB+SNX+VET,110.8,11.34,1.68,3.34,367,62.6,15.79,1.44,362,no
BNB+SNX+WLD,127.5,12.6,1.78,3.84,351,51.4,15.42,1.37,350,no
BNB+SNX+XRP,126.9,9.33,1.76,3.63,340,50.9,13.25,1.40,330,no
BNB+TON+VET,108.6,8.86,1.67,3.41,371,49.5,13.8,1.43,313,no
BNB+TON+WLD,125.8,14.18,1.76,3.95,355,39.1,12.91,1.35,301,no
BNB+TON+XRP,124.3,10.53,1.74,3.69,344,39.1,8.92,1.39,281,no
BNB+VET+WLD,97.0,9.66,1.59,3.13,378,37.9,17.67,1.32,333,no
BNB+VET+XRP,96.9,10.79,1.58,2.94,367,37.9,17.1,1.35,313,no
BNB+WLD+XRP,112.4,13.31,1.67,3.65,351,28.5,15.83,1.27,301,no
BTC+DOGE+ENS,110.2,11.85,1.56,3.09,364,35.3,16.22,1.31,318,no
BTC+DOGE+ETH,95.2,10.32,1.61,3.03,323,31.6,16.89,1.31,290,no
BTC+DOGE+HBAR,59.2,10.58,1.37,2.36,329,37.2,15.55,1.31,339,no
BTC+DOGE+LTC,97.5,11.11,1.55,3.07,349,31.1,17.57,1.27,323,no
BTC+DOGE+SNX,96.8,12.45,1.58,3.17,333,46.8,16.86,1.35,339,no
BTC+DOGE+TON,95.2,8.64,1.58,3.23,337,35.6,12.78,1.33,290,no
BTC+DOGE+VET,70.8,12.76,1.43,2.49,360,33.6,20.4,1.30,322,no
BTC+DOGE+WLD,84.8,7.18,1.51,3.05,344,25.0,20.44,1.23,310,no
BTC+DOGE+XRP,83.9,8.19,1.50,2.87,333,24.3,16.39,1.24,290,no
BTC+ENS+ETH,121.4,13.18,1.69,3.33,345,35.7,18.2,1.33,306,no
BTC+ENS+HBAR,80.4,11.42,1.44,2.62,351,41.3,21.98,1.32,355,no
BTC+ENS+LTC,124.1,12.57,1.62,3.4,371,34.9,19.35,1.28,339,no
BTC+ENS+SNX,123.4,9.91,1.65,3.44,355,51.1,23.45,1.36,355,no
BTC+ENS+TON,121.4,10.62,1.65,3.59,359,39.0,17.25,1.35,306,no
BTC+ENS+VET,93.7,11.49,1.50,2.79,382,37.4,26.01,1.31,338,no
BTC+ENS+WLD,109.5,13.18,1.58,3.29,366,28.2,24.28,1.24,326,no
BTC+ENS+XRP,108.9,14.38,1.57,3.23,355,28.0,23.13,1.26,306,no
BTC+ETH+HBAR,67.6,8.49,1.47,2.54,310,37.6,17.57,1.32,327,no
BTC+ETH+LTC,107.8,11.55,1.68,3.26,330,31.2,17.8,1.28,311,no
BTC+ETH+SNX,107.4,9.22,1.72,3.39,314,47.1,18.47,1.37,327,no
BTC+ETH+TON,105.6,8.06,1.71,3.42,318,35.3,13.15,1.35,278,no
BTC+ETH+VET,80.1,13.61,1.54,2.76,341,33.9,20.74,1.32,310,no
BTC+ETH+WLD,94.6,7.64,1.64,3.24,325,24.9,20.51,1.24,298,no
BTC+ETH+XRP,93.8,10.37,1.62,3.02,314,24.7,16.96,1.26,278,no
BTC+HBAR+LTC,69.4,11.56,1.42,2.53,336,37.1,19.58,1.28,360,no
BTC+HBAR+SNX,69.2,9.75,1.44,2.66,320,53.1,24.82,1.35,376,no
BTC+HBAR+TON,67.1,14.61,1.44,2.51,324,41.0,18.74,1.34,327,no
BTC+HBAR+VET,46.4,11.19,1.30,1.92,347,39.7,26.7,1.31,359,no
BTC+HBAR+WLD,58.4,15.5,1.38,2.32,331,30.1,25.16,1.24,347,no
BTC+HBAR+XRP,57.8,12.11,1.37,2.35,320,29.9,19.7,1.26,327,no
BTC+LTC+SNX,110.0,10.2,1.64,3.4,340,46.0,20.64,1.32,360,no
BTC+LTC+TON,108.2,10.19,1.64,3.47,344,34.6,13.28,1.30,311,no
BTC+LTC+VET,82.2,13.28,1.49,2.74,367,33.3,24.59,1.27,343,no
BTC+LTC+WLD,97.3,10.2,1.57,3.28,351,24.1,23.09,1.21,331,no
BTC+LTC+XRP,96.1,7.57,1.56,3.13,340,23.9,18.09,1.22,311,no
BTC+SNX+TON,107.7,7.53,1.68,3.46,328,51.0,18.26,1.38,327,no
BTC+SNX+VET,81.7,12.74,1.51,2.88,351,49.1,27.5,1.35,359,no
BTC+SNX+WLD,96.5,7.37,1.60,3.36,335,39.3,25.99,1.29,347,no
BTC+SNX+XRP,95.7,7.28,1.59,3.23,324,38.6,23.46,1.31,327,no
BTC+TON+VET,79.8,10.54,1.51,2.81,355,37.2,20.25,1.34,310,no
BTC+TON+WLD,94.7,16.72,1.60,3.41,339,28.4,18.27,1.26,298,no
BTC+TON+XRP,93.5,9.93,1.58,3.15,328,27.8,17.17,1.28,278,no
BTC+VET+WLD,70.2,10.52,1.44,2.62,362,26.6,30.14,1.24,330,no
BTC+VET+XRP,69.7,8.22,1.44,2.57,351,26.5,26.27,1.25,310,no
BTC+WLD+XRP,83.6,10.26,1.52,3.2,335,18.0,22.57,1.18,298,no
DOGE+ENS+ETH,166.7,13.68,1.90,4.02,360,53.8,13.44,1.47,307,no
DOGE+ENS+HBAR,117.0,13.61,1.62,3.3,366,60.0,12.4,1.44,356,no
DOGE+ENS+LTC,167.6,13.33,1.81,4.02,386,53.0,10.3,1.40,340,no
DOGE+ENS+SNX,168.0,13.46,1.86,4.03,370,71.4,13.06,1.48,356,no
DOGE+ENS+TON,165.0,12.02,1.85,4.25,374,57.7,12.99,1.49,307,no
DOGE+ENS+VET,132.6,13.97,1.68,3.29,397,55.8,14.33,1.45,339,no
DOGE+ENS+WLD,150.3,15.25,1.78,3.86,381,45.4,15.33,1.37,327,no
DOGE+ENS+XRP,150.9,17.06,1.76,3.77,370,45.3,12.16,1.40,307,no
DOGE+ETH+HBAR,101.5,7.96,1.68,3.5,325,55.8,9.18,1.46,328,no
DOGE+ETH+LTC,148.2,10.59,1.91,4.01,345,48.9,11.28,1.42,312,no
DOGE+ETH+SNX,148.8,11.21,1.98,4.12,329,67.0,12.21,1.50,328,no
DOGE+ETH+TON,146.1,6.08,1.95,4.33,333,53.5,9.3,1.51,279,no
DOGE+ETH+VET,116.4,11.62,1.75,3.5,356,51.9,12.31,1.47,311,no
DOGE+ETH+WLD,132.6,8.91,1.87,3.93,340,41.7,15.72,1.38,299,no
DOGE+ETH+XRP,132.7,9.61,1.84,3.74,329,41.5,12.24,1.42,279,no
DOGE+HBAR+LTC,102.4,10.67,1.61,3.37,351,55.5,10.27,1.39,361,no
DOGE+HBAR+SNX,102.7,11.52,1.65,3.45,335,73.4,11.22,1.47,377,no
DOGE+HBAR+TON,100.0,9.67,1.64,3.42,339,59.7,13.25,1.47,328,no
DOGE+HBAR+VET,75.5,11.91,1.47,2.62,362,58.3,16.35,1.44,360,no
DOGE+HBAR+WLD,89.3,8.73,1.56,3.11,346,47.4,12.41,1.36,348,no
DOGE+HBAR+XRP,89.2,10.86,1.55,3.12,335,47.3,11.35,1.39,328,no
DOGE+LTC+SNX,150.3,10.28,1.86,3.98,355,65.8,15.09,1.43,361,no
DOGE+LTC+TON,148.6,8.1,1.86,4.23,359,52.8,13.48,1.43,312,no
DOGE+LTC+VET,117.1,12.66,1.68,3.33,382,51.4,12.27,1.40,344,no
DOGE+LTC+WLD,135.3,8.9,1.78,3.9,366,40.8,12.79,1.32,332,no
DOGE+LTC+XRP,133.5,8.48,1.76,3.75,355,40.8,11.86,1.35,312,no
DOGE+SNX+TON,148.1,10.67,1.92,4.24,343,71.5,9.17,1.51,328,no
DOGE+SNX+VET,117.3,15.01,1.72,3.55,366,69.2,10.98,1.48,360,no
DOGE+SNX+WLD,134.3,10.67,1.83,3.94,350,58.2,13.65,1.41,348,no
DOGE+SNX+XRP,134.0,12.3,1.81,3.9,339,57.4,10.92,1.44,328,no
DOGE+TON+VET,114.8,10.37,1.71,3.51,370,55.7,14.6,1.48,311,no
DOGE+TON+WLD,132.6,11.23,1.81,4.17,354,46.8,13.51,1.40,299,no
DOGE+TON+XRP,130.9,8.69,1.79,3.84,343,45.0,8.24,1.44,279,no
DOGE+VET+WLD,103.0,9.95,1.63,3.16,377,43.7,14.2,1.36,331,no
DOGE+VET+XRP,103.2,11.2,1.62,3.18,366,43.6,12.6,1.40,311,no
DOGE+WLD+XRP,118.8,11.51,1.72,3.77,350,33.9,14.67,1.31,299,no
ENS+ETH+HBAR,128.9,15.88,1.76,3.68,347,60.4,12.99,1.46,344,no
ENS+ETH+LTC,182.0,16.78,1.99,4.42,367,53.1,12.29,1.42,328,no
ENS+ETH+SNX,182.9,12.27,2.05,4.37,351,71.8,14.1,1.50,344,no
ENS+ETH+TON,179.5,14.7,2.02,4.75,355,58.0,9.4,1.51,295,no
ENS+ETH+VET,145.8,13.21,1.83,3.73,378,56.1,14.42,1.47,327,no
ENS+ETH+WLD,163.9,15.56,1.94,4.2,362,45.7,16.45,1.39,315,no
ENS+ETH+XRP,164.8,18.71,1.91,4.13,351,45.6,13.62,1.43,295,no
ENS+HBAR+LTC,129.8,14.12,1.68,3.64,373,59.8,13.4,1.40,377,no
ENS+HBAR+SNX,130.3,11.91,1.72,3.6,357,78.5,13.86,1.47,393,no
ENS+HBAR+TON,127.1,12.57,1.71,3.7,361,64.4,15.58,1.47,344,no
ENS+HBAR+VET,99.9,12.13,1.55,2.89,384,62.7,19.51,1.44,376,no
ENS+HBAR+WLD,114.6,14.02,1.64,3.27,368,51.6,16.7,1.37,364,no
ENS+HBAR+XRP,115.2,15.85,1.63,3.4,357,51.5,14.48,1.40,344,no
ENS+LTC+SNX,184.6,10.93,1.94,4.25,377,70.5,16.39,1.43,377,no
ENS+LTC+TON,182.7,12.96,1.93,4.72,381,57.0,13.27,1.44,328,no
ENS+LTC+VET,146.7,12.54,1.75,3.69,404,55.4,20.72,1.40,360,no
ENS+LTC+WLD,167.3,14.95,1.85,4.24,388,44.7,18.82,1.33,348,no
ENS+LTC+XRP,165.8,16.84,1.83,4.22,377,44.7,16.19,1.36,328,no
ENS+SNX+TON,182.1,10.26,1.99,4.43,365,76.1,13.28,1.51,344,no
ENS+SNX+VET,147.1,14.6,1.80,3.8,388,73.8,19.0,1.48,376,no
ENS+SNX+WLD,166.0,13.54,1.90,4.21,372,62.4,19.23,1.41,364,no
ENS+SNX+XRP,166.6,15.72,1.88,4.16,361,62.0,16.49,1.44,344,no
ENS+TON+VET,144.0,10.95,1.78,3.88,392,59.9,18.43,1.48,327,no
ENS+TON+WLD,164.1,13.17,1.88,4.55,376,49.2,17.01,1.40,315,no
ENS+TON+XRP,162.8,15.64,1.86,4.3,365,49.2,13.36,1.44,295,no
ENS+VET+WLD,130.3,14.16,1.71,3.45,399,47.5,23.76,1.37,347,no
ENS+VET+XRP,131.2,16.59,1.70,3.47,388,47.5,21.65,1.40,327,no
ENS+WLD+XRP,148.8,17.07,1.79,4.1,372,37.7,19.49,1.33,315,no
ETH+HBAR+LTC,113.2,11.79,1.75,3.65,332,55.6,8.43,1.41,349,no
ETH+HBAR+SNX,113.9,8.01,1.81,3.76,316,73.9,12.62,1.49,365,no
ETH+HBAR+TON,110.9,12.02,1.79,3.73,320,60.0,12.27,1.50,316,no
ETH+HBAR+VET,85.4,9.54,1.60,3.03,343,58.6,15.25,1.46,348,no
ETH+HBAR+WLD,99.5,11.38,1.70,3.38,327,47.7,12.5,1.38,336,no
ETH+HBAR+XRP,99.6,13.07,1.69,3.41,316,47.7,13.55,1.41,316,no
ETH+LTC+SNX,164.0,8.29,2.07,4.38,336,65.9,11.76,1.45,349,no
ETH+LTC+TON,162.1,9.49,2.05,4.64,340,52.8,9.44,1.45,300,no
ETH+LTC+VET,129.2,12.19,1.83,3.71,363,51.4,9.5,1.42,332,no
ETH+LTC+WLD,148.1,10.03,1.95,4.16,347,40.9,14.77,1.34,320,no
ETH+LTC+XRP,146.3,13.24,1.93,4.02,336,40.9,13.08,1.37,300,no
ETH+SNX+TON,161.9,9.54,2.12,4.53,324,71.6,8.16,1.54,316,no
ETH+SNX+VET,129.8,9.82,1.89,3.92,347,69.6,11.41,1.50,348,no
ETH+SNX+WLD,147.2,11.34,2.02,4.28,331,58.4,15.34,1.43,336,no
ETH+SNX+XRP,147.2,8.17,2.00,4.16,320,57.8,12.8,1.46,316,no
ETH+TON+VET,126.9,7.07,1.86,4.0,351,55.9,11.29,1.51,299,no
ETH+TON+WLD,145.3,14.31,1.99,4.63,335,45.4,11.68,1.42,287,no
ETH+TON+XRP,143.7,13.22,1.96,4.16,324,45.3,8.81,1.46,267,no
ETH+VET+WLD,114.4,9.5,1.78,3.53,358,43.9,15.73,1.38,319,no
ETH+VET+XRP,114.8,9.75,1.76,3.44,347,43.8,12.03,1.42,299,no
ETH+WLD+XRP,130.9,12.46,1.88,4.01,331,34.2,16.44,1.33,287,no
HBAR+LTC+SNX,115.2,7.65,1.71,3.53,342,73.0,14.34,1.42,398,no
HBAR+LTC+TON,113.0,10.34,1.70,3.61,346,59.6,12.39,1.43,349,no
HBAR+LTC+VET,86.2,9.44,1.53,2.86,369,58.0,16.45,1.40,381,no
HBAR+LTC+WLD,101.6,10.49,1.62,3.23,353,47.1,12.87,1.33,369,no
HBAR+LTC+XRP,100.5,11.18,1.61,3.35,342,47.1,11.24,1.35,349,no
HBAR+SNX+TON,112.8,9.02,1.75,3.65,330,78.2,13.89,1.49,365,no
HBAR+SNX+VET,86.6,10.69,1.57,2.98,353,76.5,19.86,1.46,397,no
HBAR+SNX+WLD,101.2,10.73,1.67,3.37,337,64.4,16.5,1.40,385,no
HBAR+SNX+XRP,101.1,8.32,1.66,3.44,326,64.1,14.28,1.43,365,no
HBAR+TON+VET,83.8,10.81,1.56,2.88,357,62.5,19.48,1.47,348,no
HBAR+TON+WLD,99.0,20.5,1.65,3.49,341,51.3,15.24,1.39,336,no
HBAR+TON+XRP,97.9,11.58,1.64,3.23,330,51.3,15.1,1.43,316,no
HBAR+VET+WLD,73.8,10.96,1.49,2.57,364,49.9,20.44,1.36,368,no
HBAR+VET+XRP,74.0,12.87,1.48,2.66,353,50.0,20.67,1.39,348,no
HBAR+WLD+XRP,87.6,13.23,1.57,3.12,337,39.8,13.14,1.32,336,no
LTC+SNX+TON,164.8,7.28,2.00,4.6,350,70.2,11.12,1.46,349,no
LTC+SNX+VET,131.2,10.15,1.79,3.77,373,68.5,16.39,1.43,381,no
LTC+SNX+WLD,150.4,9.0,1.90,4.11,357,56.9,16.49,1.36,369,no
LTC+SNX+XRP,148.8,8.66,1.89,4.12,346,56.6,14.58,1.39,349,no
LTC+TON+VET,129.2,7.8,1.78,3.8,377,55.2,14.05,1.43,332,no
LTC+TON+WLD,148.3,10.21,1.89,4.27,361,44.4,13.01,1.36,320,no
LTC+TON+XRP,146.4,9.92,1.87,4.16,350,44.5,9.12,1.39,300,no
LTC+VET+WLD,116.8,8.07,1.70,3.41,384,43.1,18.5,1.33,352,no
LTC+VET+XRP,115.6,8.97,1.69,3.46,373,43.2,15.36,1.35,332,no
LTC+WLD+XRP,133.7,11.55,1.79,4.05,357,33.3,14.09,1.28,320,no
SNX+TON+VET,128.8,9.5,1.83,3.85,361,73.7,13.18,1.51,348,no
SNX+TON+WLD,147.5,13.77,1.95,4.46,345,62.5,12.42,1.43,336,no
SNX+TON+XRP,146.1,9.05,1.93,4.23,334,61.7,10.47,1.47,316,no
SNX+VET+WLD,116.0,10.55,1.75,3.65,368,60.5,22.34,1.41,368,no
SNX+VET+XRP,116.2,11.37,1.73,3.58,357,59.9,19.25,1.44,348,no
SNX+WLD+XRP,133.0,11.57,1.85,4.13,341,49.3,18.02,1.36,336,no
TON+VET+WLD,114.0,13.39,1.73,3.67,372,47.4,16.5,1.40,319,no
TON+VET+XRP,112.9,9.05,1.71,3.48,361,47.4,15.91,1.44,299,no
TON+WLD+XRP,130.6,16.07,1.82,4.19,345,37.5,13.07,1.35,287,no
VET+WLD+XRP,101.7,10.43,1.64,3.4,368,36.1,20.27,1.32,319,no
