pairs,n_pairs,annual_return_pct,max_dd_pct,profit_factor,sharpe,winrate_pct,trades,signals_skipped,avg_corr,final_balance,long_pct,short_pct,best_month,best_month_pnl,worst_month,worst_month_pnl
ONDOUSDT+ETHUSDT+BCHUSDT,3,129.91,7.79,2.116,3.542,44.11,560,15,0.5559,1202239.17,46.6,53.4,2026-03,188197.74,2026-04,-66478.31
ONDOUSDT+ETHUSDT+TONUSDT,3,121.66,8.94,2.0485,3.321,43.48,552,22,0.533,1071694.15,43.5,56.5,2026-01,129828.63,2024-07,-8546.61
ONDOUSDT+ETHUSDT+XLMUSDT,3,115.86,14.4,1.9677,3.128,42.81,598,26,0.5488,995824.29,45.2,54.8,2026-01,120614.97,2024-10,-6536.07
ONDOUSDT+ETHUSDT+ZECUSDT,3,123.86,7.81,1.8436,3.471,42.59,587,16,0.4863,1108986.76,47.0,53.0,2025-10,136163.49,2026-04,-38079.43
ONDOUSDT+ETHUSDT+DOGEUSDT,3,102.58,11.02,1.8555,2.946,41.94,558,33,0.6701,819615.37,44.8,55.2,2026-01,104931.72,2024-07,-3983.03
ONDOUSDT+ETHUSDT+1000PEPEUSDT,3,108.28,9.49,1.8361,3.096,41.74,563,27,0.6249,895917.17,45.6,54.4,2026-03,73734.99,2025-04,-18098.36
ONDOUSDT+ETHUSDT+SUIUSDT,3,101.31,13.08,1.8707,3.044,40.86,580,30,0.6229,807752.73,46.0,54.0,2026-03,82924.25,2023-08,-10915.08
ONDOUSDT+ETHUSDT+ADAUSDT,3,117.25,9.18,1.8728,3.203,42.41,580,34,0.6535,1012965.82,43.1,56.9,2026-03,140892.96,2026-04,-25909.24
ONDOUSDT+BCHUSDT+TONUSDT,3,124.74,9.39,1.9727,3.615,43.4,576,13,0.437,1123208.66,45.3,54.7,2026-01,176004.65,2026-04,-26413.77
ONDOUSDT+BCHUSDT+XLMUSDT,3,122.08,12.38,1.9472,3.383,42.86,623,16,0.4456,1084004.31,46.4,53.6,2026-01,139834.8,2026-04,-29524.51
ONDOUSDT+BCHUSDT+ZECUSDT,3,138.45,8.63,1.8825,3.783,43.07,599,19,0.4022,1340576.41,49.2,50.8,2025-10,162701.83,2026-04,-91620.25
ONDOUSDT+BCHUSDT+DOGEUSDT,3,126.4,9.92,1.9909,3.522,42.88,590,16,0.5467,1148247.37,46.4,53.6,2026-01,158666.68,2026-04,-23845.67
ONDOUSDT+BCHUSDT+1000PEPEUSDT,3,122.6,9.15,1.918,3.326,42.2,583,22,0.4965,1092937.68,47.2,52.8,2026-05,124789.75,2026-04,-46173.26
ONDOUSDT+BCHUSDT+SUIUSDT,3,121.22,8.33,1.9566,3.449,41.61,608,17,0.4936,1071527.71,46.4,53.6,2026-01,118641.74,2025-06,-12463.51
ONDOUSDT+BCHUSDT+ADAUSDT,3,126.49,10.67,1.8744,3.349,42.3,610,19,0.517,1149570.6,44.8,55.2,2026-03,153216.66,2026-04,-70117.06
ONDOUSDT+TONUSDT+XLMUSDT,3,115.3,10.24,1.8718,3.272,42.53,616,22,0.4422,988028.2,43.7,56.3,2026-01,192610.07,2024-10,-8713.34
ONDOUSDT+TONUSDT+ZECUSDT,3,136.58,8.46,1.8264,3.593,42.81,598,19,0.3786,1307992.44,45.8,54.2,2026-01,222378.94,2026-03,-45770.47
ONDOUSDT+TONUSDT+DOGEUSDT,3,114.76,13.74,1.855,3.276,42.0,581,24,0.5192,941448.0,43.4,56.6,2026-01,183468.64,2024-07,-8984.24
ONDOUSDT+TONUSDT+1000PEPEUSDT,3,118.57,11.78,1.8594,3.35,41.97,579,25,0.4704,1034862.44,44.6,55.4,2026-01,154961.21,2026-03,-7255.38
ONDOUSDT+TONUSDT+SUIUSDT,3,117.17,13.87,1.9345,3.385,41.4,599,25,0.4891,1013034.25,44.6,55.4,2026-01,146256.65,2023-08,-7001.28
ONDOUSDT+TONUSDT+ADAUSDT,3,128.33,14.42,1.8892,3.456,42.41,606,22,0.5063,1175092.89,42.1,57.9,2026-01,227538.7,2024-07,-12425.68
ONDOUSDT+XLMUSDT+ZECUSDT,3,129.64,9.51,1.81,3.384,42.28,641,26,0.4143,1197969.6,46.8,53.2,2025-12,162283.56,2025-04,-7908.21
ONDOUSDT+XLMUSDT+DOGEUSDT,3,116.22,8.89,1.8536,3.195,42.08,625,30,0.5441,1000772.88,44.3,55.7,2026-01,149976.69,2026-05,-17034.15
ONDOUSDT+XLMUSDT+1000PEPEUSDT,3,118.99,8.85,1.8407,3.167,41.87,621,33,0.4809,1040801.25,44.9,55.1,2025-12,101845.62,2025-04,-12987.39
ONDOUSDT+XLMUSDT+SUIUSDT,3,105.14,11.81,1.801,3.002,40.43,648,26,0.497,855303.05,45.4,54.6,2026-01,115775.42,2024-10,-11076.62
ONDOUSDT+XLMUSDT+ADAUSDT,3,113.29,10.94,1.7502,3.023,41.37,643,35,0.5708,960757.69,42.9,57.1,2026-01,166271.96,2026-02,-23851.88
ONDOUSDT+ZECUSDT+DOGEUSDT,3,122.98,9.16,1.7456,3.372,41.67,612,22,0.4738,1096065.95,46.9,53.1,2026-01,161546.59,2026-03,-11803.45
ONDOUSDT+ZECUSDT+1000PEPEUSDT,3,129.5,10.33,1.743,3.391,41.6,613,20,0.4329,1197209.49,47.8,52.2,2025-10,150702.97,2026-03,-32298.89
ONDOUSDT+ZECUSDT+SUIUSDT,3,117.85,7.48,1.7414,3.296,40.54,634,19,0.4518,1022514.11,47.5,52.5,2025-10,123588.24,2023-08,-3205.85
ONDOUSDT+ZECUSDT+ADAUSDT,3,123.51,10.14,1.6867,3.313,41.27,630,27,0.4665,1103820.58,45.1,54.9,2025-12,175031.27,2026-04,-43783.77
ONDOUSDT+DOGEUSDT+1000PEPEUSDT,3,111.49,10.19,1.794,3.139,41.4,587,34,0.6325,937804.43,44.8,55.2,2026-01,102480.87,2023-10,-5217.43
ONDOUSDT+DOGEUSDT+SUIUSDT,3,101.94,9.75,1.775,3.008,40.2,607,34,0.601,815398.18,45.6,54.4,2026-01,120856.61,2026-05,-7432.07
ONDOUSDT+DOGEUSDT+ADAUSDT,3,114.06,10.61,1.7506,3.141,41.52,607,38,0.6436,969192.78,43.0,57.0,2026-01,171216.64,2026-05,-22609.84
ONDOUSDT+1000PEPEUSDT+SUIUSDT,3,101.34,10.14,1.7166,2.983,39.54,612,28,0.5546,809685.19,45.8,54.2,2026-01,78916.49,2025-04,-10728.7
ONDOUSDT+1000PEPEUSDT+ADAUSDT,3,115.89,11.33,1.7277,3.145,41.05,609,35,0.5762,997398.19,43.8,56.2,2025-12,120545.96,2025-04,-38502.45
ONDOUSDT+SUIUSDT+ADAUSDT,3,108.26,12.43,1.7427,3.121,40.1,631,33,0.5953,893887.51,43.6,56.4,2026-01,124878.14,2025-04,-17711.01
ETHUSDT+BCHUSDT+TONUSDT,3,131.03,14.09,2.0129,3.667,44.35,584,12,0.4892,1212895.49,43.0,57.0,2026-02,171771.4,2026-04,-25242.16
ETHUSDT+BCHUSDT+XLMUSDT,3,124.7,11.88,1.9203,3.315,43.56,629,17,0.4838,1116239.26,44.0,56.0,2026-03,188694.69,2026-04,-27336.34
ETHUSDT+BCHUSDT+ZECUSDT,3,139.38,12.73,1.8294,3.842,43.89,606,19,0.4452,1347879.55,46.9,53.1,2026-02,164347.54,2026-04,-89164.28
ETHUSDT+BCHUSDT+DOGEUSDT,3,119.09,10.74,1.8905,3.447,43.39,590,23,0.6145,1035134.81,44.2,55.8,2026-02,140138.01,2025-06,-12520.17
ETHUSDT+BCHUSDT+1000PEPEUSDT,3,126.26,10.13,1.8546,3.436,43.34,593,19,0.5618,1140795.29,45.0,55.0,2026-02,143989.22,2026-04,-34499.63
ETHUSDT+BCHUSDT+SUIUSDT,3,121.94,13.0,1.8942,3.395,42.53,616,16,0.5308,1075906.85,44.5,55.5,2026-03,153027.65,2025-06,-33273.62
ETHUSDT+BCHUSDT+ADAUSDT,3,122.12,15.07,1.8177,3.349,43.04,611,25,0.5814,1078506.86,42.4,57.6,2026-03,180656.18,2026-04,-52553.2
ETHUSDT+TONUSDT+XLMUSDT,3,124.03,13.12,1.9139,3.35,43.52,625,20,0.4754,1106571.63,41.1,58.9,2026-01,151134.6,2024-10,-12410.15
ETHUSDT+TONUSDT+ZECUSDT,3,133.79,13.25,1.7944,3.653,43.3,612,12,0.4166,1255273.55,43.0,57.0,2026-02,141990.44,2025-07,-25294.69
ETHUSDT+TONUSDT+DOGEUSDT,3,123.49,9.99,1.9186,3.387,43.81,582,30,0.582,1092317.39,41.2,58.8,2026-01,156582.96,2024-07,-14113.22
ETHUSDT+TONUSDT+1000PEPEUSDT,3,120.34,12.51,1.8718,3.457,43.0,586,25,0.5307,1054350.55,41.8,58.2,2026-02,126932.57,2024-07,-12088.45
ETHUSDT+TONUSDT+SUIUSDT,3,118.52,13.08,1.8868,3.288,42.3,610,21,0.5214,1026561.02,41.8,58.2,2026-02,120848.16,2025-06,-20939.47
ETHUSDT+TONUSDT+ADAUSDT,3,120.37,11.56,1.7957,3.357,42.67,614,21,0.5657,1051461.31,39.4,60.6,2026-01,136034.54,2025-06,-22498.0
ETHUSDT+XLMUSDT+ZECUSDT,3,125.67,8.71,1.7238,3.383,42.73,653,21,0.4383,1123553.44,44.7,55.3,2025-12,124620.42,2023-11,-3242.55
ETHUSDT+XLMUSDT+DOGEUSDT,3,108.75,10.78,1.7862,3.034,42.41,632,30,0.5928,891191.41,42.7,57.3,2026-01,105806.66,2026-05,-32543.78
ETHUSDT+XLMUSDT+1000PEPEUSDT,3,114.16,13.31,1.7459,3.029,42.2,635,26,0.5272,966922.72,43.1,56.9,2025-08,92769.63,2024-10,-16065.63
ETHUSDT+XLMUSDT+SUIUSDT,3,105.28,16.32,1.7499,2.991,41.29,649,32,0.5153,847908.41,42.7,57.3,2026-04,96621.77,2026-05,-18016.74
ETHUSDT+XLMUSDT+ADAUSDT,3,111.31,11.72,1.7424,3.024,42.11,646,39,0.6162,925521.25,41.0,59.0,2026-03,140497.73,2026-05,-32979.51
ETHUSDT+ZECUSDT+DOGEUSDT,3,122.89,9.78,1.7026,3.424,42.49,619,22,0.5274,1081755.92,44.6,55.4,2025-12,114302.59,2023-08,23.48
ETHUSDT+ZECUSDT+1000PEPEUSDT,3,122.96,11.39,1.6637,3.42,41.94,620,20,0.484,1090137.79,45.5,54.5,2026-02,106814.1,2025-04,-20438.29
ETHUSDT+ZECUSDT+SUIUSDT,3,116.58,11.26,1.6906,3.31,41.25,640,20,0.4748,993452.42,44.8,55.2,2026-02,106853.42,2025-07,-16522.95
ETHUSDT+ZECUSDT+ADAUSDT,3,123.45,13.52,1.6584,3.286,42.07,637,27,0.5167,1091684.96,42.9,57.1,2025-12,137918.23,2026-04,-39950.41
ETHUSDT+DOGEUSDT+1000PEPEUSDT,3,102.24,16.29,1.6916,2.998,41.54,597,31,0.7084,815251.78,43.0,57.0,2026-01,66361.64,2025-06,-7398.21
ETHUSDT+DOGEUSDT+SUIUSDT,3,100.64,14.65,1.7066,2.981,41.04,614,34,0.6488,791509.34,43.6,56.4,2026-04,95312.09,2026-05,-22508.6
ETHUSDT+DOGEUSDT+ADAUSDT,3,110.66,10.15,1.7161,3.112,42.11,615,37,0.7186,915322.69,41.0,59.0,2026-03,108802.39,2026-05,-39382.43
ETHUSDT+1000PEPEUSDT+SUIUSDT,3,104.02,19.46,1.6913,3.022,40.65,620,27,0.5999,836856.41,43.5,56.5,2025-08,81269.15,2025-12,-25354.57
ETHUSDT+1000PEPEUSDT+ADAUSDT,3,115.82,10.99,1.7003,3.179,41.95,615,36,0.6487,989402.34,41.8,58.2,2026-03,103575.08,2025-04,-38058.73
ETHUSDT+SUIUSDT+ADAUSDT,3,112.7,12.44,1.7014,3.08,41.25,640,31,0.6397,942881.2,41.7,58.3,2026-03,119174.96,2025-06,-32249.8
BCHUSDT+TONUSDT+XLMUSDT,3,124.79,12.52,1.8479,3.425,42.95,645,15,0.3963,1117857.15,43.4,56.6,2026-01,166709.22,2024-10,-19203.87
BCHUSDT+TONUSDT+ZECUSDT,3,138.58,13.89,1.7969,3.798,43.25,622,17,0.3566,1334942.15,45.7,54.3,2026-05,197698.04,2026-04,-33973.47
BCHUSDT+TONUSDT+DOGEUSDT,3,131.06,12.05,1.8996,3.68,43.54,611,16,0.4827,1213293.16,43.2,56.8,2026-01,189857.48,2023-10,-5624.04
BCHUSDT+TONUSDT+1000PEPEUSDT,3,122.14,10.07,1.7923,3.457,42.43,608,18,0.4263,1080245.51,44.1,55.9,2026-05,166735.79,2024-10,-16566.69
BCHUSDT+TONUSDT+SUIUSDT,3,124.98,12.47,1.8667,3.545,42.09,632,14,0.4161,1120682.4,43.7,56.3,2026-01,145192.11,2025-07,-21852.34
BCHUSDT+TONUSDT+ADAUSDT,3,123.72,13.53,1.768,3.393,42.41,632,18,0.4532,1102078.5,41.9,58.1,2026-01,165021.49,2025-06,-32178.61
BCHUSDT+XLMUSDT+ZECUSDT,3,132.04,11.09,1.7323,3.549,42.68,663,26,0.371,1228337.02,46.8,53.2,2026-01,132998.88,2026-04,-46008.83
BCHUSDT+XLMUSDT+DOGEUSDT,3,119.35,11.11,1.8226,3.311,42.62,650,27,0.4863,1038927.0,44.8,55.2,2026-01,136189.45,2024-10,-10647.11
BCHUSDT+XLMUSDT+1000PEPEUSDT,3,122.64,11.89,1.7943,3.26,42.35,647,29,0.4155,1087301.92,45.4,54.6,2026-03,98237.33,2024-10,-24399.89
BCHUSDT+XLMUSDT+SUIUSDT,3,128.95,12.25,1.8707,3.373,42.28,674,22,0.4027,1180233.1,44.5,55.5,2026-01,126928.32,2024-10,-22454.67
BCHUSDT+XLMUSDT+ADAUSDT,3,118.31,11.93,1.7209,3.187,42.0,669,31,0.4965,1024268.3,42.5,57.5,2026-03,149338.67,2026-04,-29799.22
BCHUSDT+ZECUSDT+DOGEUSDT,3,129.59,10.17,1.7063,3.654,42.45,636,20,0.44,1190140.01,46.9,53.1,2026-01,134842.1,2026-04,-36636.29
BCHUSDT+ZECUSDT+1000PEPEUSDT,3,132.23,9.66,1.675,3.466,42.31,631,24,0.3915,1233015.2,47.7,52.3,2026-05,131302.44,2026-04,-65286.48
BCHUSDT+ZECUSDT+SUIUSDT,3,122.99,12.78,1.6657,3.458,41.16,656,19,0.3814,1091041.57,47.1,52.9,2026-02,105378.06,2025-07,-14335.35
BCHUSDT+ZECUSDT+ADAUSDT,3,132.71,15.04,1.6547,3.563,42.14,655,24,0.4161,1239058.12,44.9,55.1,2025-12,135522.97,2026-04,-90014.57
BCHUSDT+DOGEUSDT+1000PEPEUSDT,3,118.01,12.54,1.7815,3.249,42.14,617,26,0.5766,1021291.5,45.1,54.9,2026-02,114801.06,2024-10,-12625.86
BCHUSDT+DOGEUSDT+SUIUSDT,3,119.66,12.09,1.7978,3.449,41.64,646,17,0.5161,1043289.59,45.0,55.0,2026-01,119305.84,2024-10,-10523.6
BCHUSDT+DOGEUSDT+ADAUSDT,3,118.22,11.34,1.711,3.327,42.11,634,33,0.5787,1022952.04,43.2,56.8,2026-01,142263.69,2025-06,-23050.9
BCHUSDT+1000PEPEUSDT+SUIUSDT,3,120.0,16.03,1.7747,3.274,41.22,638,24,0.4621,1049259.97,45.1,54.9,2026-02,106049.21,2025-12,-42308.14
BCHUSDT+1000PEPEUSDT+ADAUSDT,3,117.15,13.1,1.6669,3.172,41.44,637,29,0.5037,1009231.9,44.1,55.9,2026-03,100487.68,2026-04,-45441.35
BCHUSDT+SUIUSDT+ADAUSDT,3,119.6,15.05,1.7194,3.311,41.09,662,24,0.4938,1042391.42,42.9,57.1,2026-03,127579.47,2025-06,-46414.13
TONUSDT+XLMUSDT+ZECUSDT,3,125.5,9.47,1.669,3.344,42.03,671,17,0.3619,1128407.09,43.7,56.3,2026-01,162570.75,2026-03,-26405.63
TONUSDT+XLMUSDT+DOGEUSDT,3,124.15,10.54,1.8074,3.334,42.97,647,29,0.4733,1108461.15,41.6,58.4,2026-01,189000.08,2024-07,-10637.02
TONUSDT+XLMUSDT+1000PEPEUSDT,3,111.53,12.22,1.6921,3.118,41.47,651,24,0.4039,933567.1,42.4,57.6,2026-01,133204.2,2024-10,-18902.62
TONUSDT+XLMUSDT+SUIUSDT,3,114.34,11.81,1.7936,3.179,41.22,672,23,0.4128,970031.13,42.1,57.9,2026-01,145963.53,2024-10,-11252.93
TONUSDT+XLMUSDT+ADAUSDT,3,115.36,12.85,1.6911,3.163,41.63,675,24,0.5003,983795.62,39.9,60.1,2026-01,167125.93,2024-10,-21111.68
TONUSDT+ZECUSDT+DOGEUSDT,3,126.26,10.65,1.6582,3.506,42.1,639,16,0.4068,1138662.45,43.8,56.2,2026-01,158126.06,2026-03,-61384.85
TONUSDT+ZECUSDT+1000PEPEUSDT,3,127.04,9.71,1.6279,3.456,41.65,641,13,0.3597,1152879.78,44.6,55.4,2026-01,135867.35,2026-03,-78594.71
TONUSDT+ZECUSDT+SUIUSDT,3,128.87,13.04,1.6942,3.466,41.46,656,18,0.3713,1178343.08,44.2,55.8,2026-01,141205.88,2026-03,-43341.56
TONUSDT+ZECUSDT+ADAUSDT,3,133.15,11.85,1.6358,3.511,41.91,661,17,0.3997,1245103.95,42.4,57.6,2026-01,160406.59,2024-06,-11385.41
TONUSDT+DOGEUSDT+1000PEPEUSDT,3,121.82,10.79,1.776,3.423,42.35,614,28,0.5409,1075732.79,42.0,58.0,2026-01,157445.02,2024-07,-13213.41
TONUSDT+DOGEUSDT+SUIUSDT,3,114.98,10.95,1.774,3.317,41.39,633,29,0.5021,977815.62,42.5,57.5,2026-01,144423.36,2024-07,-6526.69
TONUSDT+DOGEUSDT+ADAUSDT,3,117.36,14.02,1.6864,3.274,41.81,641,25,0.5584,1009206.7,40.1,59.9,2026-01,163753.97,2024-07,-20351.01
TONUSDT+1000PEPEUSDT+SUIUSDT,3,112.63,16.08,1.7242,3.238,40.69,639,22,0.4495,948175.93,42.7,57.3,2026-01,108218.06,2025-12,-25950.8
TONUSDT+1000PEPEUSDT+ADAUSDT,3,118.0,14.26,1.6554,3.326,41.41,640,25,0.4849,1021394.31,40.8,59.2,2026-01,142271.92,2024-10,-18521.33
TONUSDT+SUIUSDT+ADAUSDT,3,115.05,14.51,1.6947,3.247,40.72,663,22,0.4966,978784.61,40.6,59.4,2026-01,139321.05,2025-06,-22608.18
XLMUSDT+ZECUSDT+DOGEUSDT,3,130.41,8.05,1.6648,3.451,42.41,672,33,0.4374,1195104.77,44.6,55.4,2025-12,146542.04,2026-05,-20009.85
XLMUSDT+ZECUSDT+1000PEPEUSDT,3,130.85,9.09,1.6373,3.297,41.95,677,27,0.376,1209211.2,45.6,54.4,2025-08,119427.03,2026-03,-18217.42
XLMUSDT+ZECUSDT+SUIUSDT,3,122.11,10.72,1.6574,3.24,41.13,693,31,0.3849,1069139.6,44.9,55.1,2026-01,119317.01,2026-05,-12940.09
XLMUSDT+ZECUSDT+ADAUSDT,3,122.99,9.57,1.5786,3.214,41.47,692,36,0.47,1086139.24,43.2,56.8,2025-12,178980.64,2025-04,-30593.61
XLMUSDT+DOGEUSDT+1000PEPEUSDT,3,111.79,12.33,1.6638,3.016,41.55,657,35,0.5464,935404.06,43.1,56.9,2026-01,94578.86,2026-05,-17093.7
XLMUSDT+DOGEUSDT+SUIUSDT,3,104.71,12.52,1.6566,2.984,40.59,680,32,0.505,840875.88,43.5,56.5,2026-04,128640.83,2026-05,-49880.36
XLMUSDT+DOGEUSDT+ADAUSDT,3,99.32,10.86,1.5751,2.787,40.56,678,38,0.6179,777857.3,41.2,58.8,2026-01,117029.26,2026-05,-57748.57
XLMUSDT+1000PEPEUSDT+SUIUSDT,3,107.89,14.53,1.6742,2.907,40.32,682,29,0.438,885015.67,43.4,56.6,2026-04,101960.69,2024-10,-21121.03
XLMUSDT+1000PEPEUSDT+ADAUSDT,3,106.31,13.55,1.5798,2.845,40.62,682,33,0.53,865097.48,41.8,58.2,2025-12,101455.96,2025-04,-28386.74
XLMUSDT+SUIUSDT+ADAUSDT,3,102.46,13.66,1.5911,2.906,40.14,695,40,0.5392,814943.96,41.2,58.8,2026-01,96001.12,2026-05,-47827.3
ZECUSDT+DOGEUSDT+1000PEPEUSDT,3,117.56,11.55,1.5731,3.265,41.12,642,29,0.4955,1013421.64,45.5,54.5,2026-01,93116.85,2026-03,-49439.03
ZECUSDT+DOGEUSDT+SUIUSDT,3,120.3,10.24,1.6099,3.299,40.84,666,25,0.4568,1044971.23,45.8,54.2,2026-01,107125.4,2026-05,-20086.04
ZECUSDT+DOGEUSDT+ADAUSDT,3,122.2,10.52,1.5664,3.277,41.27,664,31,0.5107,1073624.91,43.5,56.5,2025-12,158556.22,2026-05,-24098.67
ZECUSDT+1000PEPEUSDT+SUIUSDT,3,114.32,10.58,1.5759,3.142,39.91,669,21,0.4121,969069.51,45.7,54.3,2025-08,84878.18,2026-03,-29036.78
